longitud,tiempo
256,0.000263
512,0.0005
1024,0.000995
2048,0.001978
4096,0.004105
8192,0.0079
16384,0.016252
32768,0.03174
65536,0.06961
131072,0.129157
262144,0.271697
524288,0.59771
1048576,1.19946
