longitud,tiempo
256,0.000286
512,0.000535
1024,0.001162
2048,0.001917
4096,0.004294
8192,0.009635
16384,0.017624
32768,0.035125
65536,0.075878
131072,0.156443
262144,0.345673
524288,0.774817
1048576,1.50958
